year,city,globalavg_temp,localavg_temp
1842,Virginia Beach,8.02,15.68
1843,Virginia Beach,8.17,14.88
1844,Virginia Beach,7.65,15.46
1845,Virginia Beach,7.85,15.59
1846,Virginia Beach,8.55,15.84
1847,Virginia Beach,8.09,15.45
1848,Virginia Beach,7.98,15.53
1849,Virginia Beach,7.98,15.07
1850,Virginia Beach,7.90,15.48
1851,Virginia Beach,8.18,15.62
1852,Virginia Beach,8.10,15.38
1853,Virginia Beach,8.04,15.90
1854,Virginia Beach,8.21,15.97
1855,Virginia Beach,8.11,15.66
1856,Virginia Beach,8.00,14.61
1857,Virginia Beach,7.76,14.83
1858,Virginia Beach,8.10,15.46
1859,Virginia Beach,8.25,15.55
1860,Virginia Beach,7.96,15.61
1861,Virginia Beach,7.85,15.70
1862,Virginia Beach,7.56,15.46
1863,Virginia Beach,8.11,15.41
1864,Virginia Beach,7.98,15.44
1865,Virginia Beach,8.18,15.88
1866,Virginia Beach,8.29,15.46
1867,Virginia Beach,8.44,14.95
1868,Virginia Beach,8.25,14.61
1869,Virginia Beach,8.43,15.43
1870,Virginia Beach,8.20,15.93
1871,Virginia Beach,8.12,15.85
1872,Virginia Beach,8.19,14.76
1873,Virginia Beach,8.35,15.06
1874,Virginia Beach,8.43,15.51
1875,Virginia Beach,7.86,14.75
1876,Virginia Beach,8.08,15.40
1877,Virginia Beach,8.54,15.65
1878,Virginia Beach,8.83,15.88
1879,Virginia Beach,8.17,15.48
1880,Virginia Beach,8.12,16.17
1881,Virginia Beach,8.27,15.94
1882,Virginia Beach,8.13,15.53
1883,Virginia Beach,7.98,15.33
1884,Virginia Beach,7.77,15.76
1885,Virginia Beach,7.92,14.88
1886,Virginia Beach,7.95,14.88
1887,Virginia Beach,7.91,15.46
1888,Virginia Beach,8.09,15.04
1889,Virginia Beach,8.32,15.50
1890,Virginia Beach,7.97,16.42
1891,Virginia Beach,8.02,15.64
1892,Virginia Beach,8.07,14.92
1893,Virginia Beach,8.06,15.06
1894,Virginia Beach,8.16,16.12
1895,Virginia Beach,8.15,14.98
1896,Virginia Beach,8.21,15.67
1897,Virginia Beach,8.29,15.77
1898,Virginia Beach,8.18,15.96
1899,Virginia Beach,8.40,15.45
1900,Virginia Beach,8.50,16.26
1901,Virginia Beach,8.54,15.06
1902,Virginia Beach,8.30,15.50
1903,Virginia Beach,8.22,15.45
1904,Virginia Beach,8.09,14.39
1905,Virginia Beach,8.23,15.26
1906,Virginia Beach,8.38,15.98
1907,Virginia Beach,7.95,15.03
1908,Virginia Beach,8.19,15.85
1909,Virginia Beach,8.18,15.57
1910,Virginia Beach,8.22,15.42
1911,Virginia Beach,8.18,16.26
1912,Virginia Beach,8.17,15.63
1913,Virginia Beach,8.30,16.51
1914,Virginia Beach,8.59,15.31
1915,Virginia Beach,8.59,15.56
1916,Virginia Beach,8.23,15.55
1917,Virginia Beach,8.02,14.38
1918,Virginia Beach,8.13,15.45
1919,Virginia Beach,8.38,15.92
1920,Virginia Beach,8.36,15.12
1921,Virginia Beach,8.57,16.81
1922,Virginia Beach,8.41,16.16
1923,Virginia Beach,8.42,15.79
1924,Virginia Beach,8.51,15.13
1925,Virginia Beach,8.53,16.13
1926,Virginia Beach,8.73,15.54
1927,Virginia Beach,8.52,15.85
1928,Virginia Beach,8.63,15.70
1929,Virginia Beach,8.24,16.12
1930,Virginia Beach,8.63,16.07
1931,Virginia Beach,8.72,16.40
1932,Virginia Beach,8.71,16.69
1933,Virginia Beach,8.34,16.87
1934,Virginia Beach,8.63,15.91
1935,Virginia Beach,8.52,15.71
1936,Virginia Beach,8.55,15.88
1937,Virginia Beach,8.70,15.94
1938,Virginia Beach,8.86,16.55
1939,Virginia Beach,8.76,16.74
1940,Virginia Beach,8.76,14.96
1941,Virginia Beach,8.77,16.05
1942,Virginia Beach,8.73,16.23
1943,Virginia Beach,8.76,15.84
1944,Virginia Beach,8.85,15.88
1945,Virginia Beach,8.58,16.31
1946,Virginia Beach,8.68,16.48
1947,Virginia Beach,8.80,15.63
1948,Virginia Beach,8.75,16.06
1949,Virginia Beach,8.59,17.06
1950,Virginia Beach,8.37,16.06
1951,Virginia Beach,8.63,16.17
1952,Virginia Beach,8.64,16.39
1953,Virginia Beach,8.87,16.84
1954,Virginia Beach,8.56,16.27
1955,Virginia Beach,8.63,15.91
1956,Virginia Beach,8.28,16.22
1957,Virginia Beach,8.73,16.51
1958,Virginia Beach,8.77,14.99
1959,Virginia Beach,8.73,16.54
1960,Virginia Beach,8.58,15.60
1961,Virginia Beach,8.80,15.86
1962,Virginia Beach,8.75,15.38
1963,Virginia Beach,8.86,14.95
1964,Virginia Beach,8.41,15.98
1965,Virginia Beach,8.53,15.62
1966,Virginia Beach,8.60,15.28
1967,Virginia Beach,8.70,15.20
1968,Virginia Beach,8.52,15.56
1969,Virginia Beach,8.60,15.35
1970,Virginia Beach,8.70,15.84
1971,Virginia Beach,8.60,16.26
1972,Virginia Beach,8.50,16.09
1973,Virginia Beach,8.95,16.50
1974,Virginia Beach,8.47,16.45
1975,Virginia Beach,8.74,16.56
1976,Virginia Beach,8.35,15.55
1977,Virginia Beach,8.85,16.06
1978,Virginia Beach,8.69,15.41
1979,Virginia Beach,8.73,15.74
1980,Virginia Beach,8.98,15.72
1981,Virginia Beach,9.17,15.32
1982,Virginia Beach,8.64,15.94
1983,Virginia Beach,9.03,16.06
1984,Virginia Beach,8.69,16.04
1985,Virginia Beach,8.66,16.63
1986,Virginia Beach,8.83,16.50
1987,Virginia Beach,8.99,15.80
1988,Virginia Beach,9.20,15.45
1989,Virginia Beach,8.92,16.14
1990,Virginia Beach,9.23,17.49
1991,Virginia Beach,9.18,17.22
1992,Virginia Beach,8.84,15.93
1993,Virginia Beach,8.87,16.12
1994,Virginia Beach,9.04,16.58
1995,Virginia Beach,9.35,16.17
1996,Virginia Beach,9.04,15.61
1997,Virginia Beach,9.20,16.09
1998,Virginia Beach,9.52,17.20
1999,Virginia Beach,9.29,16.70
2000,Virginia Beach,9.20,15.97
2001,Virginia Beach,9.41,16.47
2002,Virginia Beach,9.57,17.25
2003,Virginia Beach,9.53,16.20
2004,Virginia Beach,9.32,16.48
2005,Virginia Beach,9.70,16.28
2006,Virginia Beach,9.53,16.91
2007,Virginia Beach,9.73,16.95
2008,Virginia Beach,9.43,16.93
2009,Virginia Beach,9.51,16.47
2010,Virginia Beach,9.70,16.30
2011,Virginia Beach,9.52,17.22
2012,Virginia Beach,9.51,17.37
2013,Virginia Beach,9.61,17.29
